epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,29025.6,0.38249,0.20208,0.93307,0.99883,0.99917,0.99482,0.97425,0.29235,0.11826,0.86831,0.0031957,0.0031957,0.0031957
114,29295.2,0.38594,0.20546,0.93569,0.99883,0.99917,0.9948,0.97456,0.29229,0.11845,0.86816,0.00311588,0.00311588,0.00311588
115,29571.5,0.38111,0.20164,0.93191,0.99883,0.99917,0.99479,0.97351,0.29215,0.11769,0.86788,0.00303665,0.00303665,0.00303665
116,29838.3,0.37999,0.20131,0.93434,0.99882,0.99917,0.99479,0.97376,0.29185,0.11822,0.86765,0.00295804,0.00295804,0.00295804
117,30094.3,0.37833,0.19926,0.93133,0.99881,0.99917,0.9948,0.97411,0.29174,0.1183,0.86752,0.00288006,0.00288006,0.00288006
118,30352.2,0.37491,0.19768,0.9298,0.99881,0.99917,0.99479,0.97365,0.29162,0.11762,0.86742,0.00280275,0.00280275,0.00280275
119,30608.5,0.37471,0.19595,0.93186,0.9988,0.99917,0.99479,0.97373,0.29144,0.11827,0.86732,0.00272612,0.00272612,0.00272612
120,30864.9,0.37046,0.19485,0.93008,0.9988,0.99917,0.9948,0.97411,0.29105,0.11794,0.86702,0.00265019,0.00265019,0.00265019
121,31128.9,0.37192,0.19499,0.93052,0.9988,0.99917,0.9948,0.9743,0.29092,0.11737,0.86689,0.002575,0.002575,0.002575
122,31397.2,0.36744,0.19341,0.92769,0.99881,0.99917,0.99479,0.97403,0.29085,0.11745,0.86675,0.00250056,0.00250056,0.00250056
